set_id,set_url,timestamp,file,hits
1v6417k9,https://www.1001tracklists.com/tracklist/1v6417k9/richard-vission-disco-lines-powertools-mixshow-2025-02-03.html,2026-01-31T01:34:13+00:00,1v6417k9_20260131T013413Z.html,captcha
2vskyx3t,https://www.1001tracklists.com/tracklist/2vskyx3t/moguai-punx-up-the-volume-597-2024-10-17.html,2026-01-31T01:34:03+00:00,2vskyx3t_20260131T013403Z.html,captcha
bjzuvct,https://www.1001tracklists.com/tracklist/bjzuvct/madeon-ucr-spring-splash-2021-05-08.html,2026-01-31T01:33:52+00:00,bjzuvct_20260131T013352Z.html,captcha
10rjquy1,https://www.1001tracklists.com/tracklist/10rjquy1/two-friends-just-a-gent-2f-friendly-sessions-ep.-35-2017-10-13.html,2026-01-31T01:33:43+00:00,10rjquy1_20260131T013343Z.html,captcha
1tcpr5dk,https://www.1001tracklists.com/tracklist/1tcpr5dk/sam-feldt-heartfeldt-radio-503-2025-08-22.html,2026-01-31T01:33:33+00:00,1tcpr5dk_20260131T013333Z.html,captcha
9ntp599,https://www.1001tracklists.com/tracklist/9ntp599/zedd-zouk-nightclub-las-vegas-united-states-2022-02-05.html,2026-01-31T01:33:22+00:00,9ntp599_20260131T013322Z.html,captcha
35rty69,https://www.1001tracklists.com/tracklist/35rty69/shermanology-cant-stop-miami-mix-2012-03-01.html,2026-01-31T01:33:12+00:00,35rty69_20260131T013312Z.html,captcha
1d64ykdk,https://www.1001tracklists.com/tracklist/1d64ykdk/its-murph-its-murph-mix-01-2022-10-14.html,2026-01-31T01:33:01+00:00,1d64ykdk_20260131T013301Z.html,captcha
1jjxwptt,https://www.1001tracklists.com/tracklist/1jjxwptt/pete-tong-moby-calvin-harris-essential-selection-2016-05-27.html,2026-01-31T01:32:49+00:00,1jjxwptt_20260131T013249Z.html,captcha
10ttjfu1,https://www.1001tracklists.com/tracklist/10ttjfu1/dj-snake-circuitgrounds-edc-orlando-united-states-2019-11-08.html,2026-01-31T01:32:38+00:00,10ttjfu1_20260131T013238Z.html,captcha
1lstvup1,https://www.1001tracklists.com/tracklist/1lstvup1/bakermat-the-circus-065-2024-07-26.html,2026-01-31T01:32:28+00:00,1lstvup1_20260131T013228Z.html,captcha
1s335lkk,https://www.1001tracklists.com/tracklist/1s335lkk/dom-dolla-goldenvoice-and-sound-present-shrine-auditorium-los-angeles-united-states-2020-02-15.html,2026-01-31T01:32:17+00:00,1s335lkk_20260131T013217Z.html,captcha
z6fc9q9,https://www.1001tracklists.com/tracklist/z6fc9q9/camelphat-looloo-cdmx-mexico-2024-04-12.html,2026-01-31T01:32:06+00:00,z6fc9q9_20260131T013206Z.html,captcha
2jfnr08t,https://www.1001tracklists.com/tracklist/2jfnr08t/tchami-revelations-radio-028-2022-01-29.html,2026-01-31T01:31:56+00:00,2jfnr08t_20260131T013156Z.html,captcha
1wxwwstt,https://www.1001tracklists.com/tracklist/1wxwwstt/marshmello-kineticfield-edc-mexico-2023-02-24.html,2026-01-31T01:31:45+00:00,1wxwwstt_20260131T013145Z.html,captcha
13xuhxft,https://www.1001tracklists.com/tracklist/13xuhxft/morten-upperground-legia-stadium-warsaw-poland-2025-06-14.html,2026-01-31T01:31:35+00:00,13xuhxft_20260131T013135Z.html,captcha
29qlqgr9,https://www.1001tracklists.com/tracklist/29qlqgr9/lucas-steve-skyline-sessions-028-2017-07-14.html,2026-01-31T01:31:25+00:00,29qlqgr9_20260131T013125Z.html,captcha
2n1cdjf1,https://www.1001tracklists.com/tracklist/2n1cdjf1/camelphat-kiss-fm-kissfest-2020-04-11.html,2026-01-31T01:31:15+00:00,2n1cdjf1_20260131T013115Z.html,captcha
mtt7u4k,https://www.1001tracklists.com/tracklist/mtt7u4k/bakermat-the-circus-042-2020-10-01.html,2026-01-31T01:31:05+00:00,mtt7u4k_20260131T013105Z.html,captcha
277vght9,https://www.1001tracklists.com/tracklist/277vght9/mike-williams-on-track-378-2024-04-06.html,2026-01-31T01:30:55+00:00,277vght9_20260131T013055Z.html,captcha
1vr9cu61,https://www.1001tracklists.com/tracklist/1vr9cu61/steve-aoki-aokis-house-podcast-191-aokis-house-269-2017-03-27.html,2026-01-31T01:30:46+00:00,1vr9cu61_20260131T013046Z.html,captcha
rqjfzlt,https://www.1001tracklists.com/tracklist/rqjfzlt/deadmau5-sunshine-live-mix-mission-2019-12-23.html,2026-01-31T01:30:35+00:00,rqjfzlt_20260131T013035Z.html,captcha
1jnug5y1,https://www.1001tracklists.com/tracklist/1jnug5y1/dennis-ruyer-fisher-dance-department-753-2020-04-03.html,2026-01-31T01:30:25+00:00,1jnug5y1_20260131T013025Z.html,captcha
19d62fqt,https://www.1001tracklists.com/tracklist/19d62fqt/dombresky-club-space-miami-united-states-2023-02-03.html,2026-01-31T01:30:14+00:00,19d62fqt_20260131T013014Z.html,captcha
2tj8ffuk,https://www.1001tracklists.com/tracklist/2tj8ffuk/felix-jaehn-mainstage-bigcitybeats-world-club-dome-germany-2016-06-05.html,2026-01-31T01:30:03+00:00,2tj8ffuk_20260131T013003Z.html,captcha
7pmxv99,https://www.1001tracklists.com/tracklist/7pmxv99/dj-snake-omfg-nye-valley-view-casino-center-san-diego-united-states-2014-01-01.html,2026-01-31T01:29:52+00:00,7pmxv99_20260131T012952Z.html,captcha
1tv1dbbk,https://www.1001tracklists.com/tracklist/1tv1dbbk/alok-villa-mix-festival-goiania-brazil-2016-07-03.html,2026-01-31T01:29:39+00:00,1tv1dbbk_20260131T012939Z.html,captcha
7x4uvsk,https://www.1001tracklists.com/tracklist/7x4uvsk/mako-echostage-washington-dc-united-states-2015-10-29.html,2026-01-31T01:29:29+00:00,7x4uvsk_20260131T012929Z.html,captcha
hchq481,https://www.1001tracklists.com/tracklist/hchq481/eli-brown-kineticfield-edc-mexico-2024-02-25.html,2026-01-31T01:29:19+00:00,hchq481_20260131T012919Z.html,captcha
371s5ct,https://www.1001tracklists.com/tracklist/371s5ct/habstrakt-australia-new-zealand-tour-promo-mix-2014-08-26.html,2026-01-31T01:29:09+00:00,371s5ct_20260131T012909Z.html,captcha
t9lt4uk,https://www.1001tracklists.com/tracklist/t9lt4uk/ac-slater-anton-bruner-residance-182-2018-04-15.html,2026-01-31T01:28:58+00:00,t9lt4uk_20260131T012858Z.html,captcha
654muct,https://www.1001tracklists.com/tracklist/654muct/swedish-house-mafia-bbc-radio-1-hackney-weekend-hackney-marshes-united-kingdom-2012-06-23.html,2026-01-31T01:28:47+00:00,654muct_20260131T012847Z.html,captcha
1b0n7swt,https://www.1001tracklists.com/tracklist/1b0n7swt/makj-timmy-trumpet-revolution-radio-show-178-2016-10-02.html,2026-01-31T01:28:35+00:00,1b0n7swt_20260131T012835Z.html,captcha
3bwxbkt,https://www.1001tracklists.com/tracklist/3bwxbkt/lucas-steve-skyline-sessions-amsterdam-2015-09-24.html,2026-01-31T01:28:25+00:00,3bwxbkt_20260131T012825Z.html,captcha
2dvd41q1,https://www.1001tracklists.com/tracklist/2dvd41q1/diplo-xs-nightclub-las-vegas-united-states-2024-08-08.html,2026-01-31T01:28:14+00:00,2dvd41q1_20260131T012814Z.html,captcha
2tlsn1p9,https://www.1001tracklists.com/tracklist/2tlsn1p9/mark-brown-axwell-cr2-records-radio-show-407-new-year-special-2019-01-08.html,2026-01-31T01:28:04+00:00,2tlsn1p9_20260131T012804Z.html,captcha
6sxjxz9,https://www.1001tracklists.com/tracklist/6sxjxz9/zedd-encore-beach-club-las-vegas-united-states-2015-06-14.html,2026-01-31T01:27:54+00:00,6sxjxz9_20260131T012754Z.html,captcha
1phmyw61,https://www.1001tracklists.com/tracklist/1phmyw61/noizu-caterpillars-garden-beyond-wonderland-nos-events-center-san-bernardino-united-states-2023-03-25.html,2026-01-31T01:27:44+00:00,1phmyw61_20260131T012744Z.html,captcha
296lbpq1,https://www.1001tracklists.com/tracklist/296lbpq1/alok-summer-pop-up-marquee-skydeck-edge-new-york-city-united-states-2025-09-11.html,2026-01-31T01:27:34+00:00,296lbpq1_20260131T012734Z.html,captcha
65hwdgk,https://www.1001tracklists.com/tracklist/65hwdgk/alesso-the-warfield-san-francisco-united-states-2013-04-05.html,2026-01-31T01:27:23+00:00,65hwdgk_20260131T012723Z.html,captcha
15g8twyt,https://www.1001tracklists.com/tracklist/15g8twyt/ac-slater-barely-legal-diplo-and-friends-2019-05-25.html,2026-01-31T01:27:13+00:00,15g8twyt_20260131T012713Z.html,captcha
1c87zkv1,https://www.1001tracklists.com/tracklist/1c87zkv1/biscits-biscits-goodboys-in-the-loop-tour-academy-los-angeles-united-states-2023-05-05.html,2026-01-31T01:27:02+00:00,1c87zkv1_20260131T012702Z.html,captcha
bfvmlkt,https://www.1001tracklists.com/tracklist/bfvmlkt/lemay-kyle-watson-diplo-and-friends-2019-04-06.html,2026-01-31T01:26:51+00:00,bfvmlkt_20260131T012651Z.html,captcha
